Sequential,Parallel,SharedMemory
331.722839,0.160672,0.058208
307.092590,0.131584,0.060448
307.290436,0.123136,0.061344
307.738373,0.072128,0.061504
308.469391,0.104576,0.093120
307.276001,0.103136,0.127264
308.815765,0.089504,0.126592
306.546265,0.068448,0.123584
308.515045,0.092160,0.080160
308.755615,0.102592,0.061696
309.599823,0.060096,0.059808
309.872650,0.055648,0.061088
309.845764,0.059552,0.053248
309.528290,0.055200,0.059616
310.912750,0.061984,0.062912
309.484619,0.052448,0.053728
309.859039,0.055552,0.058976
311.271332,0.061408,0.075744
313.104126,0.054144,0.057760
314.001404,0.049152,0.061696
315.082825,0.060384,0.050240
315.642212,0.052576,0.065152
317.321625,0.061376,0.055936
316.659790,0.058432,0.056896
314.329132,0.056704,0.060736
315.301208,0.062944,0.053952
316.121796,0.052576,0.068928
317.100403,0.056768,0.061504
315.183014,0.062144,0.051168
314.904877,0.067264,0.062976
316.451447,0.063872,0.054208
317.908936,0.053280,0.058848
316.229401,0.058464,0.059808
317.519531,0.074752,0.061504
317.669556,0.059680,0.061472
318.113861,0.061536,0.054016
317.994751,0.053088,0.061472
317.357666,0.062528,0.052928
322.202026,0.054240,0.055104
317.851654,0.061888,0.059136
317.780212,0.063488,0.050592
317.167603,0.053312,0.061792
317.444244,0.060640,0.052544
320.380737,0.052864,0.062112
319.669220,0.054400,0.061888
318.925751,0.059904,0.052096
318.972992,0.050080,0.060416
318.180969,0.062464,0.051328
318.476257,0.055296,0.061120
318.060913,0.054304,0.062752
319.351074,0.055296,0.053120
319.578033,0.052544,0.066720
319.279297,0.057728,0.054272
320.319885,0.081952,0.051872
320.350525,0.054016,0.065536
319.572449,0.062560,0.062464
321.245087,0.068864,0.060160
318.759644,0.062048,0.063328
321.729218,0.057952,0.054976
320.170166,0.054816,0.057792
318.875671,0.063488,0.054432
318.772095,0.055936,0.057536
319.033142,0.051904,0.061888
321.058868,0.060224,0.051904
319.425690,0.051360,0.058944
321.119446,0.060800,0.063232
319.391510,0.066848,0.065632
318.767639,0.053152,0.059392
324.813751,0.059744,0.062816
322.856110,0.053248,0.062208
319.916229,0.061088,0.052064
319.096710,0.062144,0.053856
320.012665,0.056736,0.059520
319.237885,0.059520,0.053760
322.126984,0.059232,0.060928
321.113495,0.057216,0.060800
321.880615,0.063200,0.061504
321.172302,0.054784,0.059872
320.111725,0.061664,0.053216
323.278839,0.060000,0.057664
320.013885,0.062272,0.060928
320.236786,0.062848,0.054912
319.336273,0.059264,0.061632
320.469940,0.057344,0.053184
324.268158,0.063232,0.059936
320.662750,0.054560,0.062016
322.067078,0.062560,0.053472
320.051147,0.060544,0.058496
323.203278,0.059840,0.053600
322.002289,0.061504,0.057216
321.153656,0.052192,0.053984
320.340088,0.055328,0.057376
321.493011,0.050656,0.058432
324.131195,0.065312,0.052768
321.885406,0.059392,0.054080
321.269745,0.062592,0.062560
322.479950,0.057728,0.052928
324.621185,0.055040,0.059552
321.465515,0.063392,0.058304
320.334473,0.053792,0.060928
