Sequential,Parallel,SharedMemory
964.351868,0.171744,0.063904
944.712036,0.131200,0.067584
945.710876,0.129056,0.079872
952.610840,0.085408,0.075936
952.306702,0.102304,0.062304
951.945679,0.110528,0.071136
959.253113,0.087616,0.057344
965.152771,0.099072,0.059392
971.051208,0.058368,0.079488
971.788330,0.085600,0.069344
970.577637,0.074400,0.061440
972.426697,0.065408,0.063072
978.317322,0.059296,0.061440
977.084351,0.057344,0.059456
975.819519,0.063168,0.056032
976.054260,0.056992,0.060736
980.416504,0.058880,0.063488
975.679260,0.055936,0.065536
979.254211,0.056480,0.058848
980.431763,0.057344,0.069440
980.999451,0.080384,0.061888
982.234314,0.065184,0.065312
982.180298,0.055552,0.059776
984.662903,0.056608,0.061856
984.120789,0.055456,0.069600
983.800232,0.064512,0.056224
982.453125,0.057952,0.059392
983.007080,0.063808,0.056352
984.891541,0.079680,0.058752
987.534424,0.069824,0.065088
987.319702,0.064256,0.059072
981.391357,0.079584,0.061728
985.280701,0.075424,0.063520
987.385254,0.059360,0.059136
992.365601,0.057632,0.061152
986.110413,0.057184,0.055648
987.498474,0.056704,0.054272
985.568237,0.081120,0.089760
987.795654,0.073376,0.065856
991.910400,0.063456,0.057760
989.775574,0.065056,0.077504
988.471252,0.095616,0.073088
990.433350,0.065760,0.062112
989.553772,0.058880,0.061440
987.740295,0.077632,0.061536
989.315491,0.073760,0.064288
991.522766,0.058368,0.060640
990.360291,0.060576,0.061536
986.809998,0.054528,0.059392
993.593079,0.056640,0.057344
987.813904,0.059584,0.061952
992.374207,0.061152,0.065536
991.837830,0.068448,0.067200
987.806152,0.058624,0.057824
995.383179,0.058432,0.055776
988.099915,0.058016,0.057088
990.035950,0.058752,0.060416
988.054504,0.058976,0.057344
992.564697,0.061280,0.059552
994.978943,0.064480,0.057152
989.961548,0.058656,0.062784
994.135071,0.059808,0.057344
990.794067,0.084800,0.057728
993.168457,0.065376,0.064928
991.893372,0.057376,0.075200
997.783447,0.066816,0.057248
990.520508,0.068256,0.062272
995.203125,0.057824,0.068032
990.125305,0.079936,0.059680
994.697144,0.077152,0.056096
994.536133,0.066528,0.064640
991.811829,0.058944,0.081920
989.073303,0.056192,0.069792
989.735352,0.059392,0.059392
993.945618,0.079392,0.056352
995.498474,0.058464,0.066976
991.985352,0.065984,0.071904
993.667236,0.069632,0.061088
991.623291,0.057344,0.064320
993.763123,0.066560,0.065856
992.290649,0.057824,0.063168
994.398010,0.063872,0.070720
990.308350,0.070272,0.055712
992.618347,0.066080,0.127264
994.621094,0.065024,0.069504
992.699402,0.088448,0.059424
996.829712,0.074176,0.059744
993.848022,0.057024,0.055008
994.289673,0.056288,0.059968
992.553772,0.069568,0.081856
995.465393,0.071328,0.057824
994.058411,0.057344,0.058144
992.368225,0.059424,0.086016
992.755432,0.059520,0.066496
995.655334,0.061984,0.059456
994.854187,0.054528,0.062784
997.567139,0.067904,0.071744
990.194885,0.061664,0.058176
993.305847,0.078368,0.063520
993.319580,0.056160,0.058528
