Sequential,Parallel,SharedMemory
6.552384,0.129536,0.058080
5.590112,0.128320,0.058624
5.523648,0.149920,0.052896
5.544192,0.049888,0.042688
5.569760,0.101120,0.052992
5.552032,0.093056,0.046144
5.542272,0.088896,0.063488
5.557472,0.089760,0.042976
5.568352,0.063008,0.055360
5.554016,0.046880,0.048960
5.500928,0.062336,0.055360
5.553472,0.055328,0.051328
5.524320,0.057184,0.060416
5.529632,0.045056,0.057504
5.568096,0.061440,0.063008
5.486560,0.048128,0.051488
5.506624,0.052064,0.057504
5.521408,0.051712,0.057824
5.566592,0.060832,0.059264
5.540832,0.043424,0.054112
5.539584,0.060192,0.055104
5.507392,0.054816,0.051808
5.525216,0.052640,0.053536
5.511808,0.053216,0.045472
5.490048,0.053248,0.061824
5.529440,0.047616,0.045536
5.387360,0.062368,0.059392
4.750880,0.055104,0.053792
4.678688,0.055168,0.055072
4.719616,0.052480,0.039040
4.732928,0.051584,0.055040
4.761344,0.061472,0.046752
4.764992,0.047872,0.061536
4.778784,0.056672,0.045024
4.754400,0.038624,0.059584
4.751232,0.053728,0.052064
4.760256,0.051456,0.054080
4.762432,0.052128,0.055968
4.779072,0.047584,0.051680
4.700768,0.061024,0.046528
4.714048,0.046432,0.063104
4.719712,0.059488,0.051072
4.712384,0.051264,0.058688
4.785888,0.054784,0.055488
4.746976,0.051296,0.060384
4.747488,0.055040,0.051264
4.741536,0.054464,0.062016
4.716480,0.060800,0.043552
4.720640,0.073600,0.063168
4.696064,0.061088,0.045344
4.712000,0.060032,0.057600
4.702240,0.051200,0.037120
4.698048,0.056160,0.054080
4.704864,0.053472,0.047488
4.685824,0.053248,0.060320
4.694848,0.046784,0.038784
4.692768,0.062816,0.065472
4.689952,0.047104,0.054400
4.696064,0.059168,0.057248
4.698400,0.051488,0.050080
4.703104,0.055104,0.054912
4.705536,0.053056,0.050880
4.728864,0.054848,0.061856
4.707424,0.048448,0.049152
4.655264,0.059104,0.052320
4.706304,0.045056,0.045440
4.704864,0.060160,0.061984
4.714432,0.055872,0.057504
4.684960,0.054368,0.060096
4.732672,0.053184,0.055520
4.704768,0.055008,0.052896
4.675968,0.048704,0.053536
4.720160,0.062752,0.061888
4.708000,0.052992,0.047168
4.727200,0.053536,0.057792
4.773312,0.059456,0.054880
4.731136,0.046560,0.059584
4.700480,0.061056,0.054464
4.728832,0.055264,0.053408
4.730048,0.059392,0.050208
4.802336,0.056544,0.054304
4.820768,0.055456,0.048736
4.782528,0.045568,0.061600
4.761696,0.051360,0.048928
4.743264,0.046976,0.059296
4.932480,0.063232,0.053248
5.111200,0.052832,0.059360
4.799712,0.060992,0.048224
4.817152,0.052224,0.052928
4.774016,0.052928,0.049216
4.762592,0.052992,0.060704
4.767936,0.059808,0.052896
4.781920,0.045472,0.061792
4.873856,0.060416,0.044448
4.815008,0.041280,0.060032
4.853760,0.056000,0.055424
4.785728,0.053024,0.058880
4.741280,0.047136,0.054528
4.771104,0.057504,0.058208
4.764256,0.050784,0.048256
