Sequential,Parallel,SharedMemory
79.344482,0.106496,0.058432
72.245316,0.109664,0.046432
60.872799,0.110528,0.054176
60.820160,0.072608,0.060800
60.552418,0.094336,0.051040
60.741760,0.045664,0.050496
61.210625,0.086720,0.052704
61.433311,0.097920,0.048512
61.117889,0.077792,0.055296
61.046463,0.074560,0.047872
61.695999,0.054880,0.053760
60.860542,0.045344,0.048800
60.839554,0.055936,0.053184
60.784512,0.048672,0.046528
60.795265,0.052928,0.053184
60.769791,0.050912,0.047232
61.196735,0.051072,0.053632
61.215614,0.047808,0.047264
61.438305,0.050720,0.051456
61.619297,0.048480,0.048192
60.850368,0.054272,0.054112
60.815166,0.047392,0.050208
61.202110,0.053920,0.053248
61.259998,0.050016,0.051328
61.198208,0.052896,0.051808
61.183998,0.047392,0.049408
60.949471,0.053440,0.053984
61.860832,0.044928,0.049280
60.887810,0.058528,0.087840
60.815361,0.044288,0.058688
60.817280,0.055520,0.044960
60.776447,0.045568,0.053536
60.850494,0.051616,0.047584
60.869057,0.052928,0.053248
60.860542,0.049536,0.049568
60.921856,0.048320,0.053088
61.714111,0.050880,0.051552
60.793377,0.049056,0.049408
60.770145,0.055712,0.049856
60.824448,0.049088,0.054816
60.779202,0.053248,0.051232
60.843136,0.058464,0.052064
60.920994,0.052160,0.043296
60.848576,0.046240,0.052672
61.014015,0.049568,0.052864
60.860386,0.049376,0.052192
60.828896,0.053248,0.047424
60.902401,0.053184,0.051296
60.833954,0.066560,0.045792
60.815361,0.053440,0.057344
60.793728,0.055744,0.044736
60.774208,0.047808,0.051296
60.839935,0.054240,0.041984
61.141247,0.053440,0.051424
60.861439,0.055808,0.047872
61.343616,0.051296,0.052800
61.778976,0.052576,0.049376
61.742912,0.045056,0.054560
61.530113,0.052160,0.047456
61.425823,0.049856,0.051968
61.346207,0.052096,0.047552
61.305183,0.049536,0.050176
61.990913,0.053408,0.051968
61.320480,0.045728,0.053248
61.319073,0.055264,0.049120
61.345791,0.047232,0.049152
61.306946,0.055104,0.048256
61.343967,0.046016,0.050272
61.320801,0.053056,0.045408
61.435425,0.053248,0.056992
61.912895,0.053184,0.048800
61.363838,0.047136,0.052064
61.304642,0.050752,0.053568
61.369919,0.038912,0.049248
61.299583,0.056832,0.048832
61.366657,0.046656,0.048544
61.317345,0.052544,0.048096
61.316319,0.051968,0.060416
61.237598,0.047360,0.053568
62.252800,0.049056,0.053248
61.253601,0.049152,0.052416
61.332096,0.047168,0.052160
61.292961,0.053376,0.047680
61.339554,0.046752,0.052320
61.321026,0.053120,0.045408
61.301121,0.049152,0.055648
61.300705,0.051744,0.045344
61.355778,0.051072,0.054496
62.582752,0.049152,0.049152
61.749058,0.048480,0.047872
61.499809,0.058752,0.046848
61.460320,0.046592,0.050784
61.266144,0.057856,0.048352
61.353825,0.047584,0.053152
61.310783,0.051456,0.047040
61.259457,0.051872,0.057248
61.670593,0.054112,0.046656
61.297089,0.034496,0.050592
61.401344,0.050752,0.052320
61.209312,0.045056,0.050528
