Sequential,Parallel,SharedMemory
42.464256,0.051136,0.051200
42.749184,0.050176,0.050912
42.499073,0.050112,0.056384
42.266880,0.042240,0.092032
38.276096,0.042656,0.052192
38.331871,0.050624,0.051200
38.202465,0.042912,0.051200
38.242176,0.050176,0.051072
35.431713,0.042688,0.050688
34.523457,0.043008,0.051200
34.479424,0.043008,0.051072
34.640896,0.050912,0.050656
34.619617,0.042432,0.051168
33.779778,0.050688,0.063744
33.735905,0.042144,0.056320
33.621952,0.042976,0.051232
33.660511,0.042368,0.054272
33.785984,0.042880,0.052928
34.612255,0.050368,0.055200
33.687553,0.043072,0.054816
34.053410,0.042560,0.053248
33.710655,0.050432,0.054560
33.657825,0.042784,0.050368
33.696194,0.049696,0.054144
33.644447,0.051072,0.053120
33.627808,0.042912,0.051232
33.646591,0.050208,0.050464
33.781631,0.043136,0.051424
33.635521,0.042848,0.051200
33.705856,0.042976,0.050560
33.888226,0.042624,0.048736
33.633343,0.050400,0.050336
33.841152,0.043488,0.050336
34.182304,0.042592,0.050560
34.085888,0.042144,0.051200
33.959808,0.042592,0.051008
33.714111,0.042368,0.051392
33.715874,0.050624,0.051040
33.656769,0.043008,0.050528
33.706623,0.049504,0.051232
33.666401,0.043008,0.050496
33.745602,0.042112,0.051200
33.603359,0.042112,0.050400
33.689983,0.050560,0.051136
33.607105,0.042528,0.051360
33.721630,0.050848,0.051200
33.757118,0.042272,0.051264
33.658718,0.050304,0.051104
33.707008,0.043680,0.051776
34.228802,0.042272,0.043904
33.738625,0.043008,0.051200
33.551647,0.054816,0.051200
33.684895,0.042944,0.051200
33.691647,0.043264,0.051200
33.642494,0.042496,0.051200
33.676575,0.042816,0.050400
33.864033,0.042912,0.050880
33.631233,0.042464,0.051040
33.748127,0.050240,0.051968
33.760735,0.051040,0.050688
33.777634,0.042656,0.051200
33.777950,0.050784,0.050496
33.608002,0.042272,0.050560
33.720001,0.042784,0.051200
33.931263,0.043232,0.050624
34.823040,0.050304,0.051200
33.779839,0.042432,0.051200
33.775806,0.042528,0.051008
33.980610,0.043008,0.051232
33.708576,0.042976,0.050688
33.732674,0.050176,0.050176
33.764065,0.042688,0.050688
33.827168,0.043392,0.051040
33.808384,0.050240,0.060096
33.696926,0.042944,0.050176
33.739071,0.050176,0.050976
33.862720,0.051104,0.051456
33.741055,0.043072,0.051072
33.711361,0.042720,0.051200
33.663967,0.042304,0.050784
33.894272,0.043008,0.051200
34.332863,0.042080,0.051808
33.770016,0.043008,0.051008
33.717247,0.049696,0.050912
33.838303,0.042016,0.051296
33.695839,0.050208,0.051872
33.739296,0.050496,0.050752
33.680767,0.043008,0.050656
33.881569,0.042752,0.051200
33.786465,0.042976,0.051488
33.692448,0.042240,0.051104
33.987232,0.050144,0.050912
33.688576,0.042976,0.050880
33.844223,0.042848,0.051360
33.719296,0.042368,0.050688
33.745823,0.043008,0.050944
34.368511,0.042976,0.051520
34.351231,0.043008,0.051200
33.744896,0.049952,0.051072
33.765598,0.042848,0.051200
