Sequential,Parallel,SharedMemory
362.118195,0.040960,0.026624
319.963135,0.063264,0.042176
322.618500,0.057216,0.024576
322.331787,0.024672,0.039936
322.881531,0.024576,0.024576
323.575806,0.025408,0.042240
322.728973,0.044032,0.024576
323.174408,0.024576,0.024608
322.296844,0.024512,0.042912
324.036652,0.024576,0.024832
325.217407,0.050176,0.024576
323.863556,0.052192,0.045056
323.367950,0.047104,0.043008
325.612244,0.024352,0.025600
325.167114,0.024576,0.044032
326.369293,0.045056,0.024832
326.121277,0.024576,0.024576
326.122498,0.024576,0.025504
323.981323,0.048000,0.047072
326.511719,0.023808,0.043008
327.515137,0.024576,0.037888
326.686554,0.024512,0.025312
325.698547,0.042048,0.043008
326.512634,0.023648,0.043200
325.192535,0.024576,0.024576
328.210419,0.047968,0.024864
324.963318,0.024576,0.025312
327.156738,0.024576,0.025536
326.194183,0.024576,0.025600
326.447113,0.044032,0.025600
327.317627,0.024576,0.043008
326.445312,0.049024,0.025312
326.218750,0.024576,0.039936
325.300232,0.049952,0.024640
326.499329,0.025600,0.042240
324.819977,0.023616,0.043008
325.488647,0.029696,0.025440
327.455750,0.057248,0.024736
326.649841,0.023712,0.044032
326.072327,0.045056,0.043008
326.352905,0.023840,0.025600
326.328461,0.024576,0.024416
326.971405,0.024288,0.025504
326.133606,0.043008,0.024576
327.100403,0.046176,0.041024
328.884979,0.025376,0.025600
327.716553,0.025536,0.043008
327.868408,0.042816,0.025312
328.083466,0.025376,0.048320
328.556641,0.025472,0.043200
328.315918,0.024576,0.042080
328.068085,0.024576,0.043008
327.436279,0.037888,0.025408
328.249481,0.024736,0.024736
328.868103,0.044032,0.024832
329.044983,0.053216,0.024576
327.634949,0.025600,0.043008
329.165955,0.024384,0.043008
327.547913,0.043008,0.024576
329.225220,0.024576,0.024608
328.384430,0.024576,0.024736
327.724884,0.046368,0.047328
327.817230,0.041984,0.038976
331.054871,0.024576,0.024576
327.755768,0.041984,0.024512
329.499634,0.024576,0.044032
327.729462,0.038912,0.043264
328.214539,0.024576,0.025600
328.288269,0.024320,0.024512
328.091644,0.044256,0.038912
328.845306,0.023712,0.025856
328.394043,0.040960,0.029824
328.064209,0.024576,0.025408
328.914948,0.024544,0.043264
327.975159,0.024576,0.067424
328.919861,0.024576,0.024640
327.557129,0.039936,0.024672
328.551422,0.025472,0.024832
328.322052,0.051200,0.109568
328.158020,0.044032,0.026688
328.611847,0.024576,0.040960
328.409088,0.024576,0.024640
328.108032,0.038784,0.040960
328.672241,0.024576,0.025408
327.553009,0.023648,0.038720
328.551422,0.038912,0.024576
327.981903,0.024512,0.040960
328.582153,0.023552,0.044032
328.895477,0.040160,0.025600
328.375305,0.024576,0.044032
329.037811,0.024416,0.040192
331.957245,0.040960,0.028672
328.250458,0.024384,0.024576
328.376312,0.023584,0.024704
328.371185,0.039936,0.024576
329.243805,0.042784,0.043008
329.729034,0.024576,0.024576
329.109589,0.024640,0.024576
329.540710,0.044320,0.025408
328.638458,0.024480,0.025600
